name,image_url
江永昌,http://en.gravatar.com/userimage/116975125/6af609622521902e69ee93f2dd8b48ad.jpg
鄭汝芬,http://en.gravatar.com/userimage/116975125/f08391cab27e20f3e0eb667833753c9a.jpg
柯建銘,http://en.gravatar.com/userimage/116975125/db8c9b0c42288b71b1bf4b6be423a46e.jpg
黃志雄,http://en.gravatar.com/userimage/116975125/8e8df02b2454b29300726d762878e1ef.jpg
劉世芳,http://en.gravatar.com/userimage/116975125/4b833082f97d32035504fdb0a73092d8.jpg
江連福,http://en.gravatar.com/userimage/116975125/4782b3cc9a8e66862c7c716bfd7aa585.jpg
王榮璋,http://en.gravatar.com/userimage/116975125/aba3f00d9f54b7d79eed8a26df7ce290.jpg
管碧玲,http://en.gravatar.com/userimage/116975125/15df5d9b50d96691c43e8352005fc359.jpg
廖風德,http://en.gravatar.com/userimage/116975125/c38a7c4e8144f4e610649dfcae04a064.jpg
陳怡潔,http://en.gravatar.com/userimage/116975125/97d0345e88bdc1e8ade0246a745669ea.jpg
鄭寶清,http://en.gravatar.com/userimage/116975125/2e7b1d147375a53bf7ab5221beb168eb.jpg
潘維剛,http://en.gravatar.com/userimage/116975125/e5e69c1a1a7f46c0db289a1b0e2ade66.jpg
監察院,http://en.gravatar.com/userimage/116975125/952024ce73e92b1a77b5b5137c80db4c.jpg
段宜康,http://en.gravatar.com/userimage/116975125/293f946fc3581dbae5eda974d0e2ed65.jpg
彭紹瑾,http://en.gravatar.com/userimage/116975125/0499953ca3e8ca9e2e4f80d93e14f00f.jpg
彭百顯,http://en.gravatar.com/userimage/116975125/331304fb59db9921715a6352aa69edcb.jpg
蔡錦隆,http://en.gravatar.com/userimage/116975125/ae56616a5b772ef607b5539bb06c0c8f.jpg
李彥秀,http://en.gravatar.com/userimage/116975125/7f11ebd072b56e74598fe7dab3198f2f.jpg
唐碧娥,http://en.gravatar.com/userimage/116975125/a14696088ca023de1231157b0e080e85.jpg
徐中雄,http://en.gravatar.com/userimage/116975125/956a66b2d5390676d1f00b8761b78c29.jpg
蔡適應,http://en.gravatar.com/userimage/116975125/b08b9cb16506a4eb87f7c83d17bd8df4.jpg
賴勁麟,http://en.gravatar.com/userimage/116975125/6fbda29645752833d509745dcf7720b0.jpg
陳雪生,http://en.gravatar.com/userimage/116975125/c91213b68540d4921dd679739f07773d.jpg
劉建國,http://en.gravatar.com/userimage/116975125/da057f000c1da612a677857c7ff320ce.jpg
羅致政,http://en.gravatar.com/userimage/116975125/69576b9ac584976603e322c8a4961065.jpg
蔡啟芳,http://en.gravatar.com/userimage/116975125/33c2e2a1446de011ad079f923c2f3597.jpg
鍾佳濱,http://en.gravatar.com/userimage/116975125/8bf0718622b7a31a8210bc8192d5d370.jpg
蘇震清,http://en.gravatar.com/userimage/116975125/16b6c8af58d8c2230370cb98a72dd77e.jpg
尤美女,http://en.gravatar.com/userimage/116975125/bde6a095296a8cbca53f1aea1f0c1f0c.jpg
謝啟大,http://en.gravatar.com/userimage/116975125/092d271525fc2b2cfb75f058ce935629.jpg
陳素月,http://en.gravatar.com/userimage/116975125/e763ca5c7a033c07bac9d99131cf60ce.jpg
陳節如,http://en.gravatar.com/userimage/116975125/58b673ba0307f9d6937006ba1edae858.jpg
司法院,http://en.gravatar.com/userimage/116975125/9e1d7a1174324dfb93ebb0e10e9d24d9.jpg
魏明谷,http://en.gravatar.com/userimage/116975125/22fa826ebb8471c79c3e02933b8a5b74.jpg
高金素梅,http://en.gravatar.com/userimage/116975125/f0c684a3741392473521c78697104deb.jpg
翁重鈞,http://en.gravatar.com/userimage/116975125/5e54c5982f2b93372b88b1c9d290e288.jpg
李麗芬,http://en.gravatar.com/userimage/116975125/2f3456ea438b9aee4de42e2a09975da2.jpg
江綺雯,http://en.gravatar.com/userimage/116975125/be2e6f731ae92fa9656d00fc2ee10f6b.jpg
簡錫堦,http://en.gravatar.com/userimage/116975125/15857e15241c77810a619b9f75b30237.jpg
陳學聖,http://en.gravatar.com/userimage/116975125/f7555e8a100419e56a7a3e7bd9184230.jpg
朱星羽,http://en.gravatar.com/userimage/116975125/81ad20612924afcf771c7f8a268b76e6.jpg
宋煦光,http://en.gravatar.com/userimage/116975125/9330078bea67e5ccf583bec09ba7b3aa.jpg
蘇清泉,http://en.gravatar.com/userimage/116975125/309a7f58389e2286ef58af6a6ca9e4fa.jpg
黃偉哲,http://en.gravatar.com/userimage/116975125/b98dcad8f106099dc136fc8b410e9dcd.jpg
張嘉郡,http://en.gravatar.com/userimage/116975125/f1fbdd8d03a97bcc37c8dc07874e6498.jpg
李桐豪,http://en.gravatar.com/userimage/116975125/05153ab6dd4ddf417be6f5fd990f3bbf.jpg
許淑華,http://en.gravatar.com/userimage/116975125/538cbc42fa1be3b46c12f3085471c479.jpg
呂玉玲,http://en.gravatar.com/userimage/116975125/2ac0cefa1459b6fb12978cb4fac1745a.jpg
陳金德,http://en.gravatar.com/userimage/116975125/67ca0a49da19b77d3d023b0833a680b1.jpg
李貴敏,http://en.gravatar.com/userimage/116975125/d19d59e98c757c5a96410cfed9ef00de.jpg
費鴻泰,http://en.gravatar.com/userimage/116975125/8b101955bdaffb6450b2dd550ffd5b72.jpg
民進黨黨團,http://en.gravatar.com/userimage/116975125/d3ac3f5e1879a228191554a929f6f893.jpg
黃健庭,http://en.gravatar.com/userimage/116975125/01250a717acad88544029d6be310d962.jpg
林忠正,http://en.gravatar.com/userimage/116975125/cd55e54608851b687c65c2fd707bd5b9.jpg
鄭運鵬,http://en.gravatar.com/userimage/116975125/0b193b5cae75c64ec524fa38a07167d9.jpg
楊應雄,http://en.gravatar.com/userimage/116975125/58630f5cda89147e0994f68201f29178.jpg
洪奇昌,http://en.gravatar.com/userimage/116975125/777111192dcd1c252314e75a27e822ef.jpg
江義雄,http://en.gravatar.com/userimage/116975125/f1d208659e44c021195ab99063485b36.jpg
邱文彥,http://en.gravatar.com/userimage/116975125/4e2f2596703dcd3a567ccf2ad7fbab03.jpg
許忠信,http://en.gravatar.com/userimage/116975125/44fca10c0c10449c3980d12bd108f092.jpg
王幸男,http://en.gravatar.com/userimage/116975125/7bf4884b425dd906d5d329fbd5febd24.jpg
國民黨黨團,http://en.gravatar.com/userimage/116975125/6de0697ff6693ce901bf668a0290df11.jpg
蔡其昌,http://en.gravatar.com/userimage/116975125/c7acc8a3acf623a6991f95cacd6291ac.jpg
趙天麟,http://en.gravatar.com/userimage/116975125/3f9c631edac535a51ab79a7fc0fa5dc2.jpg
王惠美,http://en.gravatar.com/userimage/116975125/d876d1a1eaddf1a2d4818b3888d25fbf.jpg
林文郎,http://en.gravatar.com/userimage/116975125/6d3b9853a128d72a79d73171b1278461.jpg
林重謨,http://en.gravatar.com/userimage/116975125/11bd82eaff6c4d8d8b6fa4fcc502c30e.jpg
考試院,http://en.gravatar.com/userimage/116975125/616ce7d89d3f7e01a89d3b9ed547d94d.jpg
蔣萬安,http://en.gravatar.com/userimage/116975125/ef8cea43fe065bbf937818e31f1ae763.jpg
李俊毅,http://en.gravatar.com/userimage/116975125/4c49bacf08ea42748cea2315c60f511b.jpg
李昆澤,http://en.gravatar.com/userimage/116975125/ad7a822a3f0febb3e1b02f07089a75e1.jpg
陳宜民,http://en.gravatar.com/userimage/116975125/a7fd5ff8a8ea7a0c8fc2cfbc1bec2dad.jpg
葉津鈴,http://en.gravatar.com/userimage/116975125/8e1df2129e44fc91228a5e8d460a60a8.jpg
朱鳳芝,http://en.gravatar.com/userimage/116975125/bc91f83b98accf77444250260fcc88d3.jpg
羅明才,http://en.gravatar.com/userimage/116975125/cb99ace5a78084b3eb73992c2c667628.jpg
王育敏,http://en.gravatar.com/userimage/116975125/4829a34af641b0f7b6b8b093df68b80e.jpg
邱議瑩,http://en.gravatar.com/userimage/116975125/7dc819f1085ce0d05bf3068871f2feb1.jpg
蔡易餘,http://en.gravatar.com/userimage/116975125/b6b6ac54a9a7a4951e1c7042bc6943d6.jpg
盧嘉辰,http://en.gravatar.com/userimage/116975125/8b890c8b3f0924011ca5bf4680659f8f.jpg
"Kolas Yotaka",http://en.gravatar.com/userimage/116975125/ec09633fc99c8f76b57978141940c3ec.jpg
林滄敏,http://en.gravatar.com/userimage/116975125/cc33e0623d97464734e702f6d7de24d3.jpg
高仲源,http://en.gravatar.com/userimage/116975125/cf5927e8b00ffae348febfcc8ae71a25.jpg
許智傑,http://en.gravatar.com/userimage/116975125/550d68addb7761eeec99791a3cbd3fbf.jpg
賴振昌,http://en.gravatar.com/userimage/116975125/091bb1994881880146761e2c8a6e6c70.jpg
李俊俋,http://en.gravatar.com/userimage/116975125/dfc5e8113a20ef1e5b8f59b93d8712f7.jpg
沈富雄,http://en.gravatar.com/userimage/116975125/9cdacd527117cb1f007283207fa7bf5d.jpg
邱毅,http://en.gravatar.com/userimage/116975125/ba55719b323d30da5a3eedefbf0c9b9c.jpg
陳根德,http://en.gravatar.com/userimage/116975125/d57555c8c850e1e89c1f3fbf7a63e8e1.jpg
姚文智,http://en.gravatar.com/userimage/116975125/6d412c445e3f9119d24680b0c469849f.jpg
張蔡美,http://en.gravatar.com/userimage/116975125/c77b0abd7392b229377c9a249376255f.jpg
呂學樟,http://en.gravatar.com/userimage/116975125/42e5121583ccb3e4b83114fae1446782.jpg
行政院,http://en.gravatar.com/userimage/116975125/53c92b7e29a1afbddfa85ec81ee58264.jpg
謝錦川,http://en.gravatar.com/userimage/116975125/43064bdd2e3f00ae8b72f831243546ce.jpg
陳癸淼,http://en.gravatar.com/userimage/116975125/3180e8f2e8c1297be43b16352fec1ed2.jpg
莊瑞雄,http://en.gravatar.com/userimage/116975125/aa9a77270cafc5a3009052184f146765.jpg
劉光華,http://en.gravatar.com/userimage/116975125/d9f3efd1a9c083c924a7a805117c7cd4.jpg
林佳龍,http://en.gravatar.com/userimage/116975125/cb9428ac1967ceda94d8036d5b4e9d64.jpg
王廷升,http://en.gravatar.com/userimage/116975125/db7d35950dff739b03953f7ec6c9cdb4.jpg
黃秀芳,http://en.gravatar.com/userimage/116975125/85ebe1586332cd8fd9882da4f17d4ea8.jpg
吳玉琴,http://en.gravatar.com/userimage/116975125/4991f47593b8eff164a3a71adf45976a.jpg
楊曜,http://en.gravatar.com/userimage/116975125/eece333a6abd5d41d17de2b21bcec07a.jpg
潘孟安,http://en.gravatar.com/userimage/116975125/b8a14a3a8852f100ac4e74bd528c567b.jpg
簡東明,http://en.gravatar.com/userimage/116975125/91530721be41e19c50604f591db07b33.jpg
楊玉欣,http://en.gravatar.com/userimage/116975125/8471fb98e92b2806274afae003ab9be6.jpg
廖國棟,http://en.gravatar.com/userimage/116975125/edc83408bb37f34c23e285b031dc3923.jpg
顏寬恒,http://en.gravatar.com/userimage/116975125/282135dcdaed48de7799770e7c4e6383.jpg
洪慈庸,http://en.gravatar.com/userimage/116975125/56121731767105d457344c4cc11271b9.jpg
吳成典,http://en.gravatar.com/userimage/116975125/36e3bee98d4445f1c15695810d0792f9.jpg
羅淑蕾,http://en.gravatar.com/userimage/116975125/22c311fa403f849c10160d937ac8fed0.jpg
丁守中,http://en.gravatar.com/userimage/116975125/1bea9aad03cb5726d041ea0c8b9f5d0c.jpg
陳超明,http://en.gravatar.com/userimage/116975125/5314f017c18bfac9994e87f20e388ac0.jpg
江啟臣,http://en.gravatar.com/userimage/116975125/85187abea9710a8da9db5c181601e79d.jpg
趙良燕,http://en.gravatar.com/userimage/116975125/a0cdf0b0b184dc292ff01d82f6bba1b5.jpg
楊麗環,http://en.gravatar.com/userimage/116975125/01fea02a1940dfa5a9cdc344d3381b8c.jpg
邱志偉,http://en.gravatar.com/userimage/116975125/423cad47fd3105afc9a016794e34478f.jpg
周荃,http://en.gravatar.com/userimage/116975125/22f11ddf7e92e056dd2483a552df879b.jpg
曾銘宗,http://en.gravatar.com/userimage/116975125/dc50613a8a951bdfe5fac1a9b63c3ce1.jpg
羅志明,http://en.gravatar.com/userimage/116975125/62169878b0361d7b07874fb058d750ac.jpg
林志隆,http://en.gravatar.com/userimage/116975125/5f0c8c55a28a5823d565cd5840d76d60.jpg
賴清德,http://en.gravatar.com/userimage/116975125/6cc82a65d9711ef3c0d8db9440df40fb.jpg
李鴻鈞,http://en.gravatar.com/userimage/116975125/89cfc6025c33c4a33ea4f980e8085f4b.jpg
林益世,http://en.gravatar.com/userimage/116975125/8c72b06e4522d4e75eba3de21f8aa99a.jpg
李應元,http://en.gravatar.com/userimage/116975125/7664c1db879e6e661440d23ca65bcefc.jpg
朱立倫,http://en.gravatar.com/userimage/116975125/4600b24426c83f97275d3fa53db8c73e.jpg
黃文玲,http://en.gravatar.com/userimage/116975125/4f4cfe0db7e2394787005edea2db4325.jpg
林淑芬,http://en.gravatar.com/userimage/116975125/bc76d2b4d44cb7d43c5be928b38d8015.jpg
江惠貞,http://en.gravatar.com/userimage/116975125/c98967842c6fe79fb3bc94e26eca3b78.jpg
吳育仁,http://en.gravatar.com/userimage/116975125/1ca8ec9b1281c5f704ceb00229304618.jpg
周錫瑋,http://en.gravatar.com/userimage/116975125/25602883b1a69eba7116a1f3d774d485.jpg
吳育昇,http://en.gravatar.com/userimage/116975125/30e3f279bb827d09b9bf151d70c0cabc.jpg
徐永明,http://en.gravatar.com/userimage/116975125/75e5e43a81757c2483b7a647b861e02e.jpg
鍾紹和,http://en.gravatar.com/userimage/116975125/97c3f1548c4e3450065260a8f812b0cf.jpg
郭素春,http://en.gravatar.com/userimage/116975125/e9f4df686f9cb17478634e52a352b7bb.jpg
周倪安,http://en.gravatar.com/userimage/116975125/d38c417b9123d625a7d8d8c4ea665ed3.jpg
顧立雄,http://en.gravatar.com/userimage/116975125/8596ee6b630a6023ac9f818c597c2aa1.jpg
黃國書,http://en.gravatar.com/userimage/116975125/dc936fb1b5fcb8e54f16ed8be9acdff4.jpg
高思博,http://en.gravatar.com/userimage/116975125/d4541e19ad9e5cf042d36fb7e8608517.jpg
廖婉汝,http://en.gravatar.com/userimage/116975125/2be5fb35c63f43428365064005e6cd52.jpg
趙麗雲,http://en.gravatar.com/userimage/116975125/193e7e17abe747d3f01056ddb83b1be3.jpg
鄭天財,http://en.gravatar.com/userimage/116975125/214a9249ae719a8f259419b9779370f3.jpg
柯志恩,http://en.gravatar.com/userimage/116975125/c06f846ce9c86a64962e68cc49230899.jpg
劉櫂豪,http://en.gravatar.com/userimage/116975125/8f853c7c51dc56cf9c7520d53d447c6b.jpg
黃昭輝,http://en.gravatar.com/userimage/116975125/07db55825bb0bfe63e520359611ce60a.jpg
無黨團結聯盟黨團,http://en.gravatar.com/userimage/116975125/fcc00236277cbe7199782cbc64254217.jpg
許添財,http://en.gravatar.com/userimage/116975125/e9edb2c5fc87be4af2f280bcb6993a5a.jpg
田秋堇,http://en.gravatar.com/userimage/116975125/317a9879ed3f64c56049e14c5c46d360.jpg
廖正井,http://en.gravatar.com/userimage/116975125/b5db8fd9ebc29be6ae60d42b7627536c.jpg
賴瑞隆,http://en.gravatar.com/userimage/116975125/8f4cec37e52e2bd840a365e14308a92a.jpg
蔡煌瑯,http://en.gravatar.com/userimage/116975125/1391d240f134fcbc170a57ede465d709.jpg
孔文吉,http://en.gravatar.com/userimage/116975125/5c7bc051eeed5d18e7ba9ef38922f6a9.jpg
張碩文,http://en.gravatar.com/userimage/116975125/db75c5b501273e7e56dbe7babf8df3a4.jpg
林政則,http://en.gravatar.com/userimage/116975125/d227ae8fb41fb1a0ea2e4147da82dd20.jpg
徐少萍,http://en.gravatar.com/userimage/116975125/ee59618a8ecd0351368a1f2e98637397.jpg
鄭龍水,http://en.gravatar.com/userimage/116975125/c106219e0d729e47a19c4940cd6f080d.jpg
林炳坤,http://en.gravatar.com/userimage/116975125/5cd556b9c15a477952a0cf8289d936f3.jpg
陳歐珀,http://en.gravatar.com/userimage/116975125/00e5a5aeb4400f5321d876b21b394082.jpg
台灣團結聯盟黨團,http://en.gravatar.com/userimage/116975125/399449e843f663803b405dc7a07b2ed2.jpg
陳碧涵,http://en.gravatar.com/userimage/116975125/59677d4ab2bd3d937cd0c90924decc51.jpg
林郁方,http://en.gravatar.com/userimage/116975125/b666e778e8e721553db28d58993073e4.jpg
朱高正,http://en.gravatar.com/userimage/116975125/c321227dc2b30f9d886bde12d9a0022f.jpg
鄭麗君,http://en.gravatar.com/userimage/116975125/93c13bc7ea28950f9a971b01ca639113.jpg
高志鵬,http://en.gravatar.com/userimage/116975125/f22b05bdddd6db7fb1bd6131bcd87601.jpg
李全教,http://en.gravatar.com/userimage/116975125/810729d154d17a68e3b1469d9da5c54d.jpg
黃義交,http://en.gravatar.com/userimage/116975125/2a549d468fdbda79ae6d2201bbe55813.jpg
吳焜裕,http://en.gravatar.com/userimage/116975125/acc760e2307fa057843bf1f5d36c04de.jpg
親民黨黨團,http://en.gravatar.com/userimage/116975125/070e3f6eba023f94ca99d43fa213a081.jpg
張廖萬堅,http://en.gravatar.com/userimage/116975125/04540e26047ed92cc6547e804b61cde1.jpg
黃爾璇,http://en.gravatar.com/userimage/116975125/f91f9140cb5ae1d2bc0350bcaa32c32d.jpg
吳宜臻,http://en.gravatar.com/userimage/116975125/bb572b46623f344eeb585932d61cdf0c.jpg
陳一新,http://en.gravatar.com/userimage/116975125/71b9ddb8b4318647ac63f0ba94bce7bf.jpg
徐國勇,http://en.gravatar.com/userimage/116975125/4e4a75c8f914c5787de43c98072b3172.jpg
趙永清,http://en.gravatar.com/userimage/116975125/26ec37f1a6e440bec7fdab9c439ebfcd.jpg
蔣乃辛,http://en.gravatar.com/userimage/116975125/86a3371f69dc39b45183e2a8d83cb23c.jpg
林惠官,http://en.gravatar.com/userimage/116975125/a29f12b59c601623a09cd720d9ef3ee5.jpg
林為洲,http://en.gravatar.com/userimage/116975125/f72cf625d987ebc4c3e684c46d628fb6.jpg
蔡培慧,http://en.gravatar.com/userimage/116975125/cf38cf6c32e7342fc8457eaaff0857ca.jpg
陳鎮湘,http://en.gravatar.com/userimage/116975125/f3ec5ece26ecea22214751d0ceb883b3.jpg
徐欣瑩,http://en.gravatar.com/userimage/116975125/1a7c865bcc0ba3e8e67fa459af732530.jpg
侯彩鳳,http://en.gravatar.com/userimage/116975125/4228557cce15fad229a37914388cc2fa.jpg
吳思瑤,http://en.gravatar.com/userimage/116975125/7949db39c83a771907fa51d19281ee7f.jpg
林志嘉,http://en.gravatar.com/userimage/116975125/7f999f25e04db356a5af4a71a2fa1882.jpg
薛凌,http://en.gravatar.com/userimage/116975125/5056efce1d92fec8215136ca56c3e149.jpg
陳鴻基,http://en.gravatar.com/userimage/116975125/51a7077da50325c2a7d5be9050e6d1cc.jpg
林建榮,http://en.gravatar.com/userimage/116975125/700c1697fa53763584919bdf769021bf.jpg
廖本煙,http://en.gravatar.com/userimage/116975125/443ad1e68bf4fe4f744c47fcc27f31fa.jpg
陳杰,http://en.gravatar.com/userimage/116975125/0e78a8d5c2e2ccf519b446e48a96d636.jpg
張顯耀,http://en.gravatar.com/userimage/116975125/1fe63f4f294540c6ad241b6569720215.jpg
林世嘉,http://en.gravatar.com/userimage/116975125/dfa37a7a976e89f0e9947e3ffd681b77.jpg
林俊憲,http://en.gravatar.com/userimage/116975125/a451c26e2323a1ebca3438d380b9dcba.jpg
蔡明憲,http://en.gravatar.com/userimage/116975125/ab48f9410e1264506dfcf0e2e0856e82.png
